"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Pair lights only ble","5 * WiZclick pairing only ble","0","0","1","0","0"
"","TCP Communication","","0","0","24","0","0"
"","Pair lights wifi and ble","5 * WiZclick pairing wifi and ble","0","0","1","0","0"
"","Single Lamp Control","","0","0","24","0","0"
"","Check Startup time, Average power consumption and Standby power consumption","Startup time","0","0","1","0","0"
"","Create schedule by mqtt","Create default schedule by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Warm White"" and end with ""Previous mode"" when lamp original status is ""Bedtime""","0","0","1","0","0"
"","Create schedule by mqtt","Delete a schedule","0","0","1","0","0"
"","Pair lights only ble","AP pairing only ble","0","0","1","0","0"
"","Test cases for rhythm","Disable rhythm by mqtt","0","0","1","0","0"
"","Pair lights wifi and ble","RTP pairing wifi and ble","0","0","1","0","0"
"","Pair lights wifi and ble","3 * WiZclick pairing wifi and ble","0","0","1","0","0"
"","Test cases for rhythm","Enable circadian rhythm by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Edit schedule to end with off by mqtt","0","0","1","0","0"
"","Pair lights only wifi","RTP pairing only wifi","0","0","1","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Bedtime"" and end with ""off"" when lamp original status is ""Warm White""","0","0","1","0","0"
"","Pair lights only wifi","AP pairing only wifi","0","0","1","0","0"
"","Test cases for rhythm","Save scene when rhythm playing","0","0","1","0","0"
"","Create schedule by mqtt","Open the vacation mode","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on in cool white mode when Rhythms playing","0","0","1","0","0"
"","Pair lights only ble","Set app pairing mode to only ble","0","0","1","0","0"
"","Pair lights only ble","3 * WiZclick pairing only ble","0","0","1","0","0"
"","Test cases for rhythm","Select same lamp mode for all lamp point","0","0","1","0","0"
"","Check Startup time, Average power consumption and Standby power consumption","Standby power consumption","0","0","1","0","0"
"","Create schedule by mqtt","Change mode during schedule end with ""previous mode""","0","0","1","0","0"
"","Create schedule by mqtt","Edit a schedule end of the way when the schedule has been stated by mqtt","0","0","1","0","0"
"","Pair lights only wifi","5 * WiZclick pairing only wifi","0","0","1","0","0"
"","Pair lights only wifi","Set app pairing mode to only wifi","0","0","1","0","0"
"","Pair lights wifi and ble","Set app pairing mode to wifi and ble","0","0","1","0","0"
"","Pair lights only wifi","3 * WiZclick pairing only wifi","0","0","1","0","0"
"","Create schedule by mqtt","Create schedule by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Select rhythm by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on from in cool white mode when Rhythms playing","0","0","1","0","0"
"","Test cases for rhythm","Trigger a schedule when rhythm playing","0","0","1","0","0"
"","Check Startup time, Average power consumption and Standby power consumption","Average power consumption","0","0","1","0","0"
"","Pair lights only ble","RTP pairing only ble","0","0","1","0","0"
"","Pair lights wifi and ble","AP pairing wifi and ble","0","0","1","0","0"
"","Create schedule by mqtt","Create schedule with the same time, same room, different scenes by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Edit time for circadian rhythm","0","0","1","0","0"
"","Create schedule by mqtt","Create 2 schedules of two intersecting time periods","1","0","0","0","0"
